university,year,coord,country,latitude,longitude
Divine Word College of Bangued,1920,Point(120.61301389 17.59960278),Philippines,17.59960278,120.61301389
Ural State Technical University,1920,Point(60.654283 56.844053),Russia,56.844053,60.654283
Donetsk National University of Economics and Trade,1920,Point(33.360583333 47.880194444),Ukraine,47.880194444,33.360583333
Technical University of Cluj-Napoca,1920,Point(23.585555555 46.769166666),Romania,46.769166666,23.585555555
Swansea University,1920,Point(-3.980555555 51.609722222),United Kingdom,51.609722222,-3.980555555
Dniprovsky State Technical University,1920,Point(34.56916667 48.53805556),Ukraine,48.53805556,34.56916667
Zahira College Mawanella,1920,Point(80.45539 7.25244),,7.25244,80.45539
National Institute of Electric Machines,1920,Point(37.6134 55.7677),Russian Socialist Federative Soviet Republic,55.7677,37.6134
Ural State University,1920,Point(60.616119 56.840447),Russia,56.840447,60.616119
National Institute of Electric Machines,1920,Point(37.6134 55.7677),Soviet Union,55.7677,37.6134
Azerbaijan Technical University,1920,Point(49.815278 40.370278),Azerbaijan,40.370278,49.815278
Sino-French University,1920,Point(116.40056 39.92689),People's Republic of China,39.92689,116.40056
Hubei Institute of Fine Arts,1920,Point(114.422079 30.395900491),People's Republic of China,30.395900491,114.422079
Ural Federal University,1920,Point(60.654283 56.844053),Russia,56.844053,60.654283
Vanguard University of Southern California,1920,Point(-117.9 33.663),United States,33.663,-117.9
Yanshan University,1920,Point(112.435833333 38.009444444),People's Republic of China,38.009444444,112.435833333
Sino-French University,1920,Point(116.40056 39.92689),Republic of China,39.92689,116.40056
East Ukrainian Volodymyr Dahl National University,1920,Point(39.3787 48.5654),Ukraine,48.5654,39.3787
University of St. Francis,1920,Point(-88.0955 41.533),United States,41.533,-88.0955
Politehnica University of Timișoara,1920,Point(21.23 45.74555556),Romania,45.74555556,21.23
Tashkent State Technical University,1920,Point(69.207027678 41.352448382),Uzbekistan,41.352448382,69.207027678
Athens University of Economics and Business,1920,Point(23.732222222 37.993888888),Greece,37.993888888,23.732222222
Moscow State University of Environmental Engineering,1920,Point(37.663409 55.766897),Russia,55.766897,37.663409
Showa Women's University,1920,Point(139.67563889 35.64372222),Japan,35.64372222,139.67563889
Indiana Wesleyan University,1920,Point(-85.665 40.519),United States,40.519,-85.665
University of Chicago School of Social Service Administration,1920,Point(-87.601722 41.785583),United States,41.785583,-87.601722
Kuban State University,1920,Point(39.030833 45.019444),Russia,45.019444,39.030833
Pakistan Adventist Seminary,1920,Point(73.83068 31.7477),Pakistan,31.7477,73.83068
Seian University of Art and Design,1920,Point(135.90230556 35.10905556),Japan,35.10905556,135.90230556
University of Economics - Varna,1920,Point(27.9235 43.209),Bulgaria,43.209,27.9235
Grozny State Oil Technical University,1920,Point(45.681558 43.317041),Russia,43.317041,45.681558
Kharkov Institute of National Economy,1920,Point(36.2548 50.0123),Ukraine,50.0123,36.2548
Osaka University of Tourism,1920,Point(135.33963889 34.39302778),Japan,34.39302778,135.33963889
Q4495765,1920,Point(126.6294111 45.74843611),People's Republic of China,45.74843611,126.6294111
Aligarh Muslim University,1920,Point(78.07803 27.91349),India,27.91349,78.07803
Admiral Makarov National University of Shipbuilding,1920,Point(32.002316 46.987908),Ukraine,46.987908,32.002316
Jamia Millia Islamia,1920,Point(77.283333333 28.5625),India,28.5625,77.283333333
Privolzhsky Research Medical University,1920,Point(44.0095 56.3294),Russia,56.3294,44.0095
Gujarat Vidyapith,1920,Point(72.567375 23.04455),India,23.04455,72.567375
University of Turku,1920,Point(22.284722222 60.454166666),Finland,60.454166666,22.284722222
Miklós Zrínyi National Defense University,1920,Point(19.1095 47.4951),Hungary,47.4951,19.1095
Parthenope University of Naples,1920,Point(14.253833333 40.837611111),Italy,40.837611111,14.253833333
Omsk MIA Academy,1920,Point(73.2875 54.992),Russia,54.992,73.2875
Kuban State Medical University,1920,Point(38.975 45.015),Russia,45.015,38.975
North Dvina State University,1920,Point(46.3257 60.7495),Russia,60.7495,46.3257
Kharkiv National Medical University,1920,Point(36.2285 50.0091),Ukraine,50.0091,36.2285
University of Lucknow,1920,Point(80.9364 26.8656),India,26.8656,80.9364
North Ossetian State University,1920,Point(44.691279 43.026533),Russia,43.026533,44.691279
Baku Academy of Music,1920,Point(49.844444444 40.377222222),Azerbaijan,40.377222222,49.844444444
University of Pretoria Faculty of Veterinary Science,1920,Point(28.18247414 -25.65061951),South Africa,-25.65061951,28.18247414
St. Luke's International University,1920,Point(139.775 35.6677),Japan,35.6677,139.775
Federal University of Rio de Janeiro,1920,Point(-43.223888888 -22.8625),Brazil,-22.8625,-43.223888888
Harbin Institute of Technology,1920,Point(126.630692 45.746998),People's Republic of China,45.746998,126.630692
Faculté polytechnique de Mons,1920,Point(3.953333333 50.451666666),Belgium,50.451666666,3.953333333
Konan Women's University,1920,Point(135.28758056 34.73454167),Japan,34.73454167,135.28758056
Siquijor State College,1920,Point(123.58922 9.24929),Philippines,9.24929,123.58922
K. D. Ushynsky South Ukrainian National Pedagogical University,1920,Point(30.7213 46.4805),Ukraine,46.4805,30.7213
Ibaraki University,1920,Point(140.44333889 36.40100833),Japan,36.40100833,140.44333889
Nicolae Bălcescu Academy of Land Forces,1920,Point(24.1540348 45.7896625),Romania,45.7896625,24.1540348
Melbourne School of Theology,1920,Point(145.209 -37.8597),Australia,-37.8597,145.209
Irkutsk Infantry School,1920,Point(104.2785 52.2798),Russia,52.2798,104.2785
Volodymyr Vynnychenko Central Ukrainian State Pedagogical University,1921,Point(32.261633 48.51456),Ukraine,48.51456,32.261633
Q4496315,1921,Point(36.237 50.008),Soviet Union,50.008,36.237
Topiwala National Medical College and BYL Nair Hospital,1921,Point(72.8212 18.9727),India,18.9727,72.8212
University of Leicester,1921,Point(-1.124444444 52.621388888),United Kingdom,52.621388888,-1.124444444
Ukrainian Medical Dental Academy,1921,Point(38.0181 48.3042),Ukraine,48.3042,38.0181
Ukrainian Medical And Dental Academy,1921,Point(38.0181 48.3042),Ukraine,48.3042,38.0181
University of Colombo,1921,Point(79.8596 6.90157),Sri Lanka,6.90157,79.8596
Hyogo University,1921,Point(134.881285 34.746713),Japan,34.746713,134.881285
Mahatma Gandhi Kashi Vidyapeeth,1921,Point(82.989558333 25.321230555),India,25.321230555,82.989558333
Robert Morris University,1921,Point(-80.2107 40.5206),United States,40.5206,-80.2107
"Ramakrishna Mission Siksha Mandir, Sarisha",1921,Point(88.183437 22.243982),India,22.243982,88.183437
State Tax University,1921,Point(30.2257 50.5221),Ukraine,50.5221,30.2257
Ufa College of Arts,1921,Point(55.95472 54.71972),Russia,54.71972,55.95472
Visva-Bharati University,1921,Point(87.680122222 23.680811111),India,23.680811111,87.680122222
University of Dhaka,1921,Point(90.391111111 23.733055555),Bangladesh,23.733055555,90.391111111
Faith Baptist Bible College and Theological Seminary,1921,Point(-93.625 41.737),United States,41.737,-93.625
Nanchang University,1921,Point(115.8 28.665),People's Republic of China,28.665,115.8
Paris Institute of Earth Physics,1921,Point(2.38036 48.82769),France,48.82769,2.38036
Hochschule für evangelische Kirchenmusik Bayreuth,1921,Point(11.57249 49.93962),Germany,49.93962,11.57249
War College,1921,Point(14.4006169 50.0944936),Czechoslovakia,50.0944936,14.4006169
Graduate School USA,1921,Point(-77.0203 38.88653),United States,38.88653,-77.0203
Tilak Maharashtra Vidyapeeth,1921,Point(73.865152 18.49355907),India,18.49355907,73.865152
Thomas More University,1921,Point(-84.5681 39.0217),United States,39.0217,-84.5681
Oberlin University,1921,Point(139.408 35.581),Japan,35.581,139.408
Jikei University School of Medicine,1921,Point(139.75072222 35.66283333),Japan,35.66283333,139.75072222
Cherkasy National University,1921,Point(32.0445 49.4551),Ukraine,49.4551,32.0445
Concordia University of Edmonton,1921,Point(-113.444 53.559),Canada,53.559,-113.444
Omsk State Medical University,1921,Point(73.374 54.9858),Russia,54.9858,73.374
Orenburg Military Aviation Piloting High School,1921,Point(55.113921 51.760167),Russia,51.760167,55.113921
Odesa National Economics University,1921,Point(30.74184 46.47837),Ukraine,46.47837,30.74184
Vinnytsia National Medical University. N. I. Pirogov,1921,Point(28.446 49.2279),Ukraine,49.2279,28.446
Azerbaijan State Pedagogical University,1921,Point(49.8483 40.3729),Azerbaijan,40.3729,49.8483
Daugavpils University,1921,Point(26.51666667 55.86944444),Latvia,55.86944444,26.51666667
High Institute of Literature and Arts,1921,Point(37.5863 55.7578),Russia,55.7578,37.5863
University of Szeged,1921,Point(20.1461 46.2502),Hungary,46.2502,20.1461
Keiai University,1921,Point(140.14439167 35.65549167),Japan,35.65549167,140.14439167
Academy of the Federal Security Service of the Russian Federation,1921,Point(37.4703 55.6833),Russia,55.6833,37.4703
Stephen F. Austin State University,1921,Point(-94.648333333 31.619166666),United States,31.619166666,-94.648333333
Simpson University,1921,Point(-122.333 40.613),United States,40.613,-122.333
Leyte Normal University,1921,Point(125.001 11.238783),Philippines,11.238783,125.001
Adventist University of France – Collonges,1921,Point(6.15805556 46.13694444),France,46.13694444,6.15805556
Pibulsongkram Rajabhat University,1921,Point(100.256829 16.819206),Thailand,16.819206,100.256829
Université Adventiste d'Haïti,1921,Point(-72.385107 18.526613),Haiti,18.526613,-72.385107
Moscow State University of Civil Engineering,1921,Point(37.69194445 55.85750001),Russia,55.85750001,37.69194445
Bangladesh University of Textiles,1921,Point(90.4001 23.7604),Bangladesh,23.7604,90.4001
Adams State University,1921,Point(-105.879536 37.471231),United States,37.471231,-105.879536
Oita University,1921,Point(131.61325 33.175455555),Japan,33.175455555,131.61325
Xiamen University,1921,Point(118.09 24.44),People's Republic of China,24.44,118.09
University of Luhansk,1921,Point(39.3167 48.565),Ukraine,48.565,39.3167
Imam Ali Officers' Academy,1921,Point(51.3987 35.6857),Iran,35.6857,51.3987
Belarusian State University,1921,Point(27.546944 53.893889),Belarus,53.893889,27.546944
Lugansk National Agrarian University,1921,Point(36.2455 50.006),Ukraine,50.006,36.2455
Secret Ukrainian University,1921,Point(24.032222222 49.8425),,49.8425,24.032222222
Hebei University,1921,Point(115.5174 38.8714),People's Republic of China,38.8714,115.5174
Ukrainian Free University,1921,Point(11.5094 48.1636),Germany,48.1636,11.5094
Moscow Technical University of Communication and Informatics,1921,Point(37.712498 55.75513),Russia,55.75513,37.712498
Università Cattolica del Sacro Cuore,1921,Point(9.176911111 45.4631),Italy,45.4631,9.176911111
Donetsk National Technical University,1921,Point(23.50288025 49.352850084),Ukraine,49.352850084,23.50288025
Dnipro State Agrarian University,1922,Point(35.0656 48.4613),Ukraine,48.4613,35.0656
Midwestern State University of Texas,1922,Point(-98.5221 33.8753),United States,33.8753,-98.5221
Hoshi University,1922,Point(139.73333333 35.6),Japan,35.6,139.73333333
Georgian Technical University,1922,Point(44.778055555 41.716944444),Georgia,41.716944444,44.778055555
The Mabini Academy,1922,Point(121.16005 13.94864),Philippines,13.94864,121.16005
Henan Medical University,1922,Point(113.5 35.21),People's Republic of China,35.21,113.5
Séminaire de La Castille,1922,Point(6.06936 43.1629),France,43.1629,6.06936
Jumonji University,1922,Point(139.5505 35.79927778),Japan,35.79927778,139.5505
Hiroshima International University,1922,Point(132.686833 34.313361),Japan,34.313361,132.686833
Autonomous University of Yucatán,1922,Point(-89.6231 20.9697),Mexico,20.9697,-89.6231
University of Delhi,1922,Point(77.21 28.69),India,28.69,77.21
Morehead State University,1922,Point(-83.431247222 38.189322222),United States,38.189322222,-83.431247222
Bluefield University,1922,Point(-81.252 37.2395),United States,37.2395,-81.252
Crimean Agrotechnological University,1922,Point(34.054444444 45.016388888),Ukraine,45.016388888,34.054444444
Laidlaw College,1922,Point(174.63064 -36.88056),New Zealand,-36.88056,174.63064
Crimean Agrotechnological University,1922,Point(34.054444444 45.016388888),Russia,45.016388888,34.054444444
Osaka Institute of Technology,1922,Point(135.54363056 34.73080278),Japan,34.73080278,135.54363056
Murray State University,1922,Point(-88.321666666 36.615630555),United States,36.615630555,-88.321666666
Lahore College for Women University,1922,Point(72.373888888 31.341111111),Pakistan,31.341111111,72.373888888
Polissia National University,1922,Point(28.66861111 50.24861111),Ukraine,50.24861111,28.66861111
Central Bible College,1922,Point(-93.2956 37.2525),United States,37.2525,-93.2956
Sultan Idris Education University,1922,Point(101.525072222 3.685111111),Malaysia,3.685111111,101.525072222
La Sierra University,1922,Point(-117.499147222 33.911269444),United States,33.911269444,-117.499147222
Tbilisi State Academy of Arts,1922,Point(44.79263889 41.70141667),Georgia,41.70141667,44.79263889
Shitennoji University,1922,Point(135.58475 34.546),Japan,34.546,135.58475
Kryvyi Rih National University,1922,Point(33.40127778 47.9055),Ukraine,47.9055,33.40127778
Federal University of Viçosa,1922,Point(-42.8678 -20.7603),Brazil,-20.7603,-42.8678
Yunnan University,1922,Point(102.709377 25.06064),People's Republic of China,25.06064,102.709377
"Faculty of Ayurveda, Banaras Hindu University",1922,Point(82.9982 25.2686),India,25.2686,82.9982
Universidad de las Fuerzas Armadas - ESPE,1922,Point(-78.44347222 -0.31486111),Ecuador,-0.31486111,-78.44347222
Makerere University,1922,Point(32.5675 0.335),Uganda,0.335,32.5675
Musashi University,1922,Point(139.667777777 35.736944444),Japan,35.736944444,139.667777777
Kuban State Agrarian University,1922,Point(38.9285 45.0467),Russia,45.0467,38.9285
Armenian State Pedagogical University,1922,Point(44.523661111 40.175177777),Armenia,40.175177777,44.523661111
Prairie College,1922,Point(-113.2663 51.7082),Canada,51.7082,-113.2663
Armed Forces University - ESPE,1922,Point(-78.44347222 -0.31486111),,-0.31486111,-78.44347222
Odesa State University of Internal Affairs,1922,Point(30.7548 46.4741),Ukraine,46.4741,30.7548
Q12112159,1922,Point(36.2432946 50.0060123),Ukrainian Soviet Socialist Republic,50.0060123,36.2432946
Tver State Technical University,1922,Point(35.9151 56.8656),Russia,56.8656,35.9151
Japan Women's College of Physical Education,1922,Point(139.59016667 35.67730556),Japan,35.67730556,139.59016667
Yamamura Gakuen College,1922,Point(139.358 35.9971),Japan,35.9971,139.358
Saint Paul School,1922,Point(-71.40015833 41.776725),United States,41.776725,-71.40015833
Polish Naval Academy,1922,Point(18.5453 54.5431),Poland,54.5431,18.5453
Udon Thani Rajabhat University,1923,Point(102.79416667 17.3975),Thailand,17.3975,102.79416667
Rowan University,1923,Point(-75.118438888 39.710916666),United States,39.710916666,-75.118438888
Damascus University,1923,Point(36.29138889 33.51138889),Syria,33.51138889,36.29138889
McMurry University,1923,Point(-99.75 32.43),United States,32.43,-99.75
Jeonju National University of Education,1923,Point(127.155118 35.808312),South Korea,35.808312,127.155118
Nagoya College,1923,Point(136.9755 35.06),Japan,35.06,136.9755
Fontbonne University,1923,Point(-90.3157 38.6423),United States,38.6423,-90.3157
Shibata Gakuen University,1923,Point(140.478 40.5894),Japan,40.5894,140.478
Miyazaki Sangyo-keiei University,1923,Point(131.405 31.88388889),Japan,31.88388889,131.405
Q11581580,1923,Point(139.680278 35.718056),Japan,35.718056,139.680278
Universidad Autónoma Agraria Antonio Narro,1923,Point(-101.0005 25.3934),Mexico,25.3934,-101.0005
National Academy of Physical Education and Sport,1923,Point(26.070588 44.439093),Romania,44.439093,26.070588
Bogdan Khmelnitsky Melitopol State Pedagogical University,1923,Point(35.37833334 46.84222223),Ukraine,46.84222223,35.37833334
Azerbaijan State University of Culture and Arts,1923,Point(49.821111111 40.38),Azerbaijan,40.38,49.821111111
Columbia International University,1923,Point(-81.075314 34.075768),United States,34.075768,-81.075314
Radboud University Nijmegen,1923,Point(5.865278 51.819444),Netherlands,51.819444,5.865278
Daito Bunka University,1923,Point(139.667944444 35.782138888),Japan,35.782138888,139.667944444
Libre University of Colombia,1923,Point(-74.07555556 4.59527778),Colombia,4.59527778,-74.07555556
Autonomous University of San Luis Potosí,1923,Point(-100.978 22.1528),Mexico,22.1528,-100.978
Laguna College,1923,Point(121.326262 14.072458),Philippines,14.072458,121.326262
Notre Dame Seminary,1923,Point(-90.115543 29.959019),United States,29.959019,-90.115543
Lamar University,1923,Point(-94.075 30.041944444),United States,30.041944444,-94.075
Bible Institute of South Africa,1923,Point(18.44733 -34.130163),South Africa,-34.130163,18.44733
University of St Mark & St John,1923,Point(-4.11 50.4206),United Kingdom,50.4206,-4.11
Bunka Gakuen University,1923,Point(139.69453 35.68538),Japan,35.68538,139.69453
"Corpus Christi College, Melbourne",1923,Point(144.969 -37.8025),Australia,-37.8025,144.969
Matsuyama University,1923,Point(132.7675 33.850175),Japan,33.850175,132.7675
Henan Normal University,1923,Point(113.9159103 35.326848793),People's Republic of China,35.326848793,113.9159103
Life Pacific University,1923,Point(-117.829 34.0993),United States,34.0993,-117.829
Traphagen School of Fashion,1923,Point(-73.982781 40.763094),United States,40.763094,-73.982781
University of Milan,1923,Point(9.194659978 45.4600626),Italy,45.4600626,9.194659978
Accademia Aeronautica,1923,Point(14.141 40.822),Italy,40.822,14.141
Chiba University,1923,Point(140.096638888 35.631113888),Japan,35.631113888,140.096638888
Kharkiv Medical Academy of Post-graduate Education,1923,Point(38.01805557 48.30416668),Ukraine,48.30416668,38.01805557
Tokyo Polytechnic University,1923,Point(139.681 35.6905),Japan,35.6905,139.681
Schreiner University,1923,Point(-99.13 30.032),United States,30.032,-99.13
Jiangxi University of Finance and Economics,1923,Point(115.857155402 28.74100493),People's Republic of China,28.74100493,115.857155402
Rashtrasant Tukadoji Maharaj Nagpur University,1923,Point(79.050061111 21.146855555),India,21.146855555,79.050061111
"National Dairy Research Institute, Karnal",1923,Point(76.982 29.704),India,29.704,76.982
Bhubanananda orissa school of engineering cuttack,1923,Point(85.8940608 20.477105),India,20.477105,85.8940608
Northeastern University,1923,Point(123.416388888 41.761666666),People's Republic of China,41.761666666,123.416388888
Texas Tech University,1923,Point(-101.87999 33.58483),United States,33.58483,-101.87999
New England School of Art and Design,1923,Point(-71.0704 42.3506),United States,42.3506,-71.0704
Meisei University,1923,Point(139.40973 35.64574),Japan,35.64574,139.40973
Nagasaki Medical College,1923,Point(129.8651815 32.786195),Japan,32.786195,129.8651815
Eugene Applebaum College of Pharmacy and Health Sciences,1924,Point(-83.0555 42.34902778),United States,42.34902778,-83.0555
Lebanese American University,1924,Point(35.477777777 33.892777777),Lebanon,33.892777777,35.477777777
"University College for Women, Koti",1924,Point(78.4750474 17.3605319),India,17.3605319,78.4750474
Technion – Israel Institute of Technology,1924,Point(35.021666666 32.7775),Israel,32.7775,35.021666666
Harding University,1924,Point(-91.7271 35.2478),United States,35.2478,-91.7271
Vytautas Magnus University Agriculture Academy,1924,Point(23.94813889 54.91016667),Lithuania,54.91016667,23.94813889
Cardinal Schulte House,1924,Point(7.17005 50.96075),Germany,50.96075,7.17005
Krakow University of Economics,1924,Point(19.955667 50.068696),Poland,50.068696,19.955667
Grand séminaire de Saint-Brieuc,1924,Point(-2.73792 48.51724),France,48.51724,-2.73792
Chiang Mai Rajabhat University,1924,Point(98.98666667 18.80722222),Thailand,18.80722222,98.98666667
National Pingtung University of Science and Technology,1924,Point(120.59555556 22.64083333),Taiwan,22.64083333,120.59555556
National Conservatory of Argentina,1924,Point(-58.401765209 -34.599210428),Argentina,-34.599210428,-58.401765209
Visayas State University,1924,Point(124.793218 10.7446333),Philippines,10.7446333,124.793218
Al-Jamiatul Islamiah Azizul Uloom Babunagar,1924,Point(91.8085 22.6482),Bangladesh,22.6482,91.8085
Nazareth University,1924,Point(-77.5194 43.1028),United States,43.1028,-77.5194
Birzeit University,1924,Point(35.180805555 31.958611111),State of Palestine,31.958611111,35.180805555
Bunkyo Gakuin University,1924,Point(139.757278 35.718393),Japan,35.718393,139.757278
Sumy State A.S.Makarenko Pedagogical University,1924,Point(34.752266 50.889722),Ukraine,50.889722,34.752266
High Point University,1924,Point(-79.9955 35.9741),United States,35.9741,-79.9955
Senzoku Gakuen College of Music,1924,Point(139.615556 35.593889),Japan,35.593889,139.615556
Yangon Technological University,1924,Point(96.1172 16.8758),Myanmar,16.8758,96.1172
American Baptist College,1924,Point(-86.7899 36.2026),United States,36.2026,-86.7899
Bible College of South Australia,1924,Point(138.613 -34.954),Australia,-34.954,138.613
War College,1924,Point(24.9605869 60.1744537),Finland,60.1744537,24.9605869
Misericordia University,1924,Point(-75.9716 41.3451),United States,41.3451,-75.9716
St. Joseph's Seminary,1924,Point(-122.08611111 37.33111111),United States,37.33111111,-122.08611111
Whampoa Military Academy,1924,Point(113.420277777 23.089583333),Republic of China,23.089583333,113.420277777
Xinjiang University,1924,Point(87.6172444 43.764929),People's Republic of China,43.764929,87.6172444
Carey Baptist College,1924,Point(174.8086 -36.9045),New Zealand,-36.9045,174.8086
Cincinnati Christian University,1924,Point(-84.5547 39.1126),United States,39.1126,-84.5547
Kawamura Gakuen Women's University,1924,Point(140.0541 35.8753),Japan,35.8753,140.0541
Sun Yat-sen University,1924,Point(113.29944444 23.09666667),People's Republic of China,23.09666667,113.29944444
Okazaki Womens University,1924,Point(137.179917 34.956488),Japan,34.956488,137.179917
University of Southern California School of International Relations,1924,Point(-118.284527 34.021658),United States,34.021658,-118.284527
Elim Bible Institute and College,1924,Point(-77.6136 42.9084),United States,42.9084,-77.6136
Keijō Imperial University,1924,Point(126.9525 37.46),Empire of Japan,37.46,126.9525
Ocean University of China,1924,Point(120.3325 36.065),People's Republic of China,36.065,120.3325
University of Finance and Economics,1924,Point(106.93 47.9191),Mongolia,47.9191,106.93
Delta State University,1924,Point(-90.726548 33.742027),United States,33.742027,-90.726548
Republic of China Military Academy,1924,Point(120.366 22.6192),Taiwan,22.6192,120.366
University of Trieste,1924,Point(13.79318 45.6585),Italy,45.6585,13.79318
Musashino University,1924,Point(139.54722778 35.71994444),Japan,35.71994444,139.54722778
Northpoint Bible College,1924,Point(-71.08 42.7655),United States,42.7655,-71.08
Gannon University,1925,Point(-80.09 42.128),United States,42.128,-80.09
Texas Tech University College of Agricultural Sciences & Natural Resources,1925,Point(-101.875947 33.582826),United States,33.582826,-101.875947
Providence University College and Theological Seminary,1925,Point(-97.0516 49.5005),Canada,49.5005,-97.0516
"Palucca School of Dance, Dresden",1925,Point(13.771 51.029),Germany,51.029,13.771
Texas Tech University College of Arts & Sciences,1925,Point(-101.873697 33.585726),United States,33.585726,-101.873697
Divine Word College of Vigan,1925,Point(120.38982 17.57481),Philippines,17.57481,120.38982
New Hope Christian College,1925,Point(-123.154 44.0319),United States,44.0319,-123.154
University of Maryland Center for Environmental Science,1925,Point(-76.13782 38.58486),United States,38.58486,-76.13782
Colorado Mesa University,1925,Point(-108.553462 39.077984),United States,39.077984,-108.553462
Southeastern Louisiana University,1925,Point(-90.468333333 30.513888888),United States,30.513888888,-90.468333333
Claremont Graduate University,1925,Point(-117.713 34.1041),United States,34.1041,-117.713
Salisbury University,1925,Point(-75.605833333 38.345555555),United States,38.345555555,-75.605833333
University of Baltimore,1925,Point(-76.616944444 39.305555555),United States,39.305555555,-76.616944444
Komazawa University,1925,Point(139.65841667 35.6295),Japan,35.6295,139.65841667
Munich School of Philosophy,1925,Point(11.583288888 48.148919444),Germany,48.148919444,11.583288888
Tokyo Seitoku College,1925,Point(139.724 35.7554),Japan,35.7554,139.724
Shikoku University Junior College,1925,Point(134.553469 34.102239),Japan,34.102239,134.553469
North Central Missouri College,1925,Point(-93.6183 40.07807),United States,40.07807,-93.6183
Hungarian University of Sports Science,1925,Point(19.025555555 47.492777777),Hungary,47.492777777,19.025555555
University of Miami,1925,Point(-80.279267 25.721644),United States,25.721644,-80.279267
Baliuag University,1925,Point(120.89781 14.95299),Philippines,14.95299,120.89781
Pontifical Catholic University of Valparaíso,1925,Point(-71.6056 -33.0447),Chile,-33.0447,-71.6056
Fuji Women's University,1925,Point(141.35058333 43.08008333),Japan,43.08008333,141.35058333
University of Bari,1925,Point(16.8684 41.12073),Italy,41.12073,16.8684
Aristotle University of Thessaloniki,1925,Point(22.958055555 40.63),Greece,40.63,22.958055555
University of Pangasinan,1925,Point(120.34178 16.04666),Philippines,16.04666,120.34178
Shikoku University,1925,Point(134.60527778 34.2025),Japan,34.2025,134.60527778
Toho University,1925,Point(139.725 35.571),Japan,35.571,139.725
Kyoto University of Advanced Science,1925,Point(135.718580555 35.010338888),Japan,35.010338888,135.718580555
Kyrgyz National University,1925,Point(74.5871 42.8823),Kyrgyzstan,42.8823,74.5871
Cologne University of Catholic Theology,1925,Point(6.905417 50.920167),Germany,50.920167,6.905417
Tenri University,1925,Point(135.845 34.5975),Japan,34.5975,135.845
Fu Jen Catholic University,1925,Point(121.433055555 25.035833333),Taiwan,25.035833333,121.433055555
Mandalay University,1925,Point(96.09166667 21.95833333),Myanmar,21.95833333,96.09166667
Hanoi College of Fine Arts,1925,Point(105.842789 21.022136),Vietnam,21.022136,105.842789
Texas A&M University–Kingsville,1925,Point(-97.8825 27.5251),United States,27.5251,-97.8825
Saint Petersburg State Pediatric Medical University,1925,Point(30.33915 59.97818),Russia,59.97818,30.33915
Whitacre College of Engineering,1925,Point(-101.876017 33.587172),United States,33.587172,-101.876017
Emily Carr University of Art and Design,1925,Point(-123.094129 49.267735),Canada,49.267735,-123.094129
Memorial University of Newfoundland,1925,Point(-52.73265 47.57203),Canada,47.57203,-52.73265
Chiba Meitoku College,1925,Point(140.03026944 35.652725),Japan,35.652725,140.03026944
Università per Stranieri di Perugia,1925,Point(12.3895 43.1149),Italy,43.1149,12.3895
Nara University,1925,Point(135.78305556 34.71527778),Japan,34.71527778,135.78305556
"St Joseph Seminary, Mark Cross",1925,Point(0.248693261 51.05467425),United Kingdom,51.05467425,0.248693261
Meiji University of Integrative Medicine,1925,Point(135.491226 35.181629),Japan,35.181629,135.491226
Loyola College,1925,Point(80.234 13.062),India,13.062,80.234
Southwestern University of Finance and Economics,1925,Point(104.017126 30.664854),People's Republic of China,30.664854,104.017126
University of Tampere,1925,Point(23.778055555 61.494166666),Finland,61.494166666,23.778055555
Texas Tech University College of Education,1925,Point(-101.879131 33.580205),United States,33.580205,-101.879131
Pontifical Institute of Christian Archaeology,1925,Point(12.5 41.89775),Italy,41.89775,12.5
Mapúa University,1925,Point(120.9779 14.5907),Philippines,14.5907,120.9779
Texas Tech University College of Human Sciences,1925,Point(-101.873139 33.583487),United States,33.583487,-101.873139
Eastern University,1925,Point(-75.3706 40.0517),United States,40.0517,-75.3706
LIU Brooklyn,1926,Point(-73.9808 40.6911),United States,40.6911,-73.9808
Concordia University Texas,1926,Point(-97.8369 30.42),United States,30.42,-97.8369
Center for Entrepreneurship and Innovation,1926,Point(-82.34028 29.6513),United States,29.6513,-82.34028
Rutgers University–Camden,1926,Point(-75.124 39.949),United States,39.949,-75.124
Den-en Chofu University,1926,Point(139.52444444 35.59527778),Japan,35.59527778,139.52444444
Andhra University,1926,Point(83.32155833 17.72927222),India,17.72927222,83.32155833
Reedley College,1926,Point(-119.460093 36.605408),United States,36.605408,-119.460093
Kyūshū Lutheran College,1926,Point(130.72277778 32.82027778),Japan,32.82027778,130.72277778
IUAV University of Venice,1926,Point(12.314942 45.433125),Italy,45.433125,12.314942
Mercyhurst University,1926,Point(-80.0537 42.1052),United States,42.1052,-80.0537
Shijonawate Gakuen University,1926,Point(135.64083333 34.73125),Japan,34.73125,135.64083333
Pontifical Institute of Arab and Islamic Studies,1926,Point(12.47277778 41.88694444),Italy,41.88694444,12.47277778
College of the Immaculate Conception,1926,Point(120.952885 15.455335),Philippines,15.455335,120.952885
Clear Creek Baptist Bible College,1926,Point(-83.7276 36.7253),United States,36.7253,-83.7276
Douglass University,1926,Point(-90.24872 38.64904),United States,38.64904,-90.24872
Ayotzinapa Rural Teachers’ College,1926,Point(-99.41027778 17.55333333),Mexico,17.55333333,-99.41027778
Prabhat Kumar College,1926,Point(87.7481253 21.7792286),India,21.7792286,87.7481253
Anhui Medical University,1926,Point(117.263 31.8486),People's Republic of China,31.8486,117.263
